Title,Release Date,Genres,Runtime,Format,Country,Language,Foreign Language,Seen,Is TV Series,Runtime in Minutes,Duration Type
Cowboy Bebop #5,1998,Action | Adventure | Animation | Comedy | Drama | Science Fiction,1:40,Blu-ray,Japan,Japanese,Yes,No,Yes,100,Medium
Cowboy Bebop #6,1998,Action | Adventure | Animation | Comedy | Drama | Science Fiction,10:50,Blu-ray,Japan,Japanese,Yes,No,Yes,650,Long
Cowboy Bebop: The Movie,2001,Action | Animation | Crime | Drama | Science Fiction,1:55,DVD,Japan,Japanese,Yes,No,No,115,Medium
Cowboys & Aliens,2011,Action | Drama | Science Fiction | Thriller | Western,1:59,Blu-ray,USA,English,No,No,No,119,Medium
Crazy Rich Asians,2018,Comedy | Drama | Romance,2:00,Blu-ray,USA,English,No,No,No,120,Medium
"Crazy, Stupid, Love.",2011,Comedy | Drama | Romance,1:58,Blu-ray,USA,English,No,No,No,118,Medium
Creed,2015,Action | Drama | Sports,2:13,Blu-ray,USA,English,No,No,No,133,Medium
Crippled Avengers,1978,Action | Drama,1:44,DVD,Hong Kong,Mandarin,Yes,No,No,104,Medium
Dark City,1998,Fantasy | Mystery | Science Fiction | Thriller,1:40,Blu-ray,Australia,English,No,No,No,100,Medium
The Dark Knight,2008,Action | Crime | Drama | Thriller,2:32,Blu-ray,USA,English,No,No,No,152,Medium
The Dark Knight Rises,2012,Action | Drama | Thriller,2:44,Blu-ray,USA,English,No,No,No,164,Medium
David Garrett: Music: Live in Concert,2012,Music,2:04,DVD,Germany,English,No,No,No,124,Medium
Dawn of the Dead,2004,Action | Horror,1:41,Blu-ray,USA,English,No,No,No,101,Medium
The Day After Tomorrow,2004,Action | Adventure | Science Fiction | Thriller,2:04,DVD,USA,English,No,No,No,124,Medium
Days of Thunder,1990,Action | Drama | Sports,1:47,Blu-ray,USA,English,No,No,No,107,Medium
Deadpool,2016,Action | Comedy,1:48,Blu-ray,USA,English,No,No,No,108,Medium
The Delta Force,1986,Action | Adventure | Drama | Thriller | War,2:05,Blu-ray,USA,English,No,No,No,125,Medium
Demolition Man,1993,Action | Science Fiction | Thriller,1:55,Blu-ray,USA,English,No,No,No,115,Medium
The Departed,2006,Crime | Drama | Thriller,2:31,Blu-ray,USA,English,No,No,No,151,Medium
Desperado,1995,Action | Crime | Drama | Thriller | Western,1:44,DVD,USA,English,No,No,No,104,Medium
The Devil Wears Prada,2006,Comedy | Drama,1:49,DVD,USA,English,No,No,No,109,Medium
Die Hard,1988,Action | Thriller,2:12,Blu-ray,USA,Japanese,Yes,No,No,132,Medium
Die Hard 1-3: The Ultimate Collection,1989,Action | Adventure | Crime | Science Fiction | Special Interest | Thriller,4:05,DVD,USA,English,No,No,No,245,Long
Die Hard 1-3: The Ultimate Collection,1989,Action | Adventure | Crime | Science Fiction | Special Interest | Thriller,4:05,DVD,USA,English,No,No,No,245,Long
Dilbert: Season 1,1999,Animation | Comedy,6:14,DVD,USA,English,No,No,Yes,374,Long
Dirty Harry,1971,Action | Crime | Thriller,1:42,DVD,USA,English,No,No,No,102,Medium
District 9,2009,Action | Science Fiction | Thriller,1:52,Blu-ray,South Africa,English,No,No,No,112,Medium
Django Unchained,2012,Drama | Western,2:45,Blu-ray,USA,English,No,No,No,165,Medium
Dragon Fight,1989,Action | Crime | Thriller,1:36,DVD,Hong Kong,English,No,No,No,96,Medium
Dunkirk,2017,Action | Drama | History | Thriller | War,1:46,4K UHD,UK,English,No,No,No,106,Medium
Edge of Tomorrow,2014,Action | Adventure | Science Fiction,1:53,Blu-ray,USA,English,No,No,No,113,Medium
The Eight Diagram Pole Fighter,1984,Action | Drama,1:38,DVD,Hong Kong,Cantonese,Yes,No,No,98,Medium
Event Horizon,1997,Horror | Science Fiction | Thriller,1:36,DVD,UK,English,No,No,No,96,Medium
Everything Everywhere All at Once,2022,Action | Adventure | Comedy | Fantasy | Science Fiction,2:19,4K UHD,USA,English,No,No,No,139,Medium
Ex Machina,2014,Drama | Science Fiction | Thriller,1:48,Blu-ray,UK,English,No,No,No,108,Medium
Executioners from Shaolin,1977,Action | Drama,1:40,DVD,Hong Kong,Mandarin,Yes,No,No,100,Medium
The Expendables,2010,Action | Adventure | Thriller,1:43,Blu-ray,USA,English,No,No,No,103,Medium
The Expendables 2,2012,Action | Adventure | Thriller,1:43,Blu-ray,USA,English,No,No,No,103,Medium
Face/Off,1997,Action | Crime | Science Fiction | Thriller,2:18,DVD,USA,English,No,No,No,138,Medium
Fantasia,1940,Animation | Family | Fantasy | Music | Musical,2:04,Blu-ray,USA,English,No,No,No,124,Medium
Fantasia 2000,1999,Animation | Family | Fantasy | Music,1:15,Blu-ray,USA,English,No,No,No,75,Short
Fast & Furious 6,2013,Action | Crime | Thriller,2:10,Blu-ray,USA,English,No,No,No,130,Medium
Fast Five,2011,Action | Crime | Thriller,2:10,Blu-ray,USA,English,No,No,No,130,Medium
The Fate of the Furious,2017,Action | Crime | Thriller,2:16,Blu-ray,USA,English,No,No,No,136,Medium
Fearless,2006,Action | Biography | Drama | Sports,1:44,DVD,China,Japanese,Yes,No,No,104,Medium
